set_no,name,price_store,price_used,aftermarket,popularity,category,year,volume,weight,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
7821-1,Track & Lighting Maintenance Wagon,,44.0,,9.0,Advanced-models,1983.0,,,90,42,6,Black,Gray
7824-1,Railway Station,44.75,94.0,49.25,21.0,Advanced-models,1983.0,,,478,130,10,Black,Red
7838-1,Freight Loading Depot,,133.0,,5.0,Advanced-models,1983.0,,,324,94,8,Black,Blue
7866-1,Remote Controlled Road Crossing 12 V,,159.0,,15.0,Advanced-models,1983.0,,,194,62,8,Gray,Red
7867-1,4 Lighting Standards Electric 12 V,,45.0,,4.0,Advanced-models,1983.0,,,52,11,4,Gray,Black
8841-1,Dune Buggy,,10.0,,9.0,Technical,1983.0,,,180,53,6,Gray,Black
8847-1,Dragster,,52.0,,9.0,Technical,1983.0,,,252,69,6,Gray,Blue
15-1,Castle Minifigures,,63.0,,,Historical,1984.0,,,38,16,8,Gray,Black
105-1,Mail Van,,102.0,,4.0,Modern-Town,1984.0,,,65,34,7,Red,White
3639-1,Paddy Wagon,,14.0,,,Bigfig-Junior,1984.0,,,12,11,4,Blue,Black
3664-1,Bertie Bulldog (Police Chief) and Constable Bulldog,,31.0,,5.0,Bigfig-Junior,1984.0,,,63,24,7,Blue,Red
3670-1,Service Station,20.0,54.0,34.0,,Bigfig-Junior,1984.0,,,54,30,7,Yellow,Red
3671-1,Airport,22.25,81.0,58.75,,Bigfig-Junior,1984.0,,,57,34,8,Yellow,Red
3711-1,Tubby and Tuba,,9.0,,,Bigfig-Junior,1984.0,,,5,4,4,Blue,Red
3713-1,Mike Monkey,,21.0,,,Bigfig-Junior,1984.0,,,8,6,5,Black,White
6010-1,Supply Wagon,3.0,10.0,7.0,52.800000000000004,Historical,1984.0,,,36,26,8,Black,Red
6021-1,Jousting Knights,5.25,17.0,11.75,20.0,Historical,1984.0,,,41,30,8,Black,Blue
6022-1,Horse Cart,5.0,15.0,10.0,19.799999999999997,Historical,1984.0,,,43,30,7,Black,Red
6030-1,Catapult,6.0,18.0,12.0,32.0,Historical,1984.0,,,84,32,8,Black,Gray
6040-1,Blacksmith Shop,9.25,30.0,20.75,35.2,Historical,1984.0,,,93,50,8,Gray,Red
6061-1,Siege Tower,17.5,44.0,26.5,25.799999999999997,Historical,1984.0,,,220,76,9,Black,Gray
6073-1,Knight's Castle,27.0,97.0,70.0,52.800000000000004,Historical,1984.0,,,420,112,9,Gray,Black
6080-1,King's Castle,52.75,163.0,110.25,73.5,Historical,1984.0,,,687,115,9,Gray,Black
6103-2,Castle Figures,,27.0,,,Historical,1984.0,,,27,19,7,Gray,Red
6366-1,Fire & Rescue Squad,,24.0,,17.2,Modern-Town,1984.0,,,117,52,10,Red,Black
6367-1,Semi Truck,,27.0,,4.0,Modern-Town,1984.0,,,154,58,9,Blue,White
6373-1,Motorcycle Shop,17.5,49.0,31.5,34.300000000000004,Modern-Town,1984.0,,,190,79,12,Yellow,Red
6391-1,Cargo Center,43.0,182.0,139.0,5.0,Modern-Town,1984.0,,,567,143,12,Blue,Black
6605-1,Road Racer,,3.0,,3.0,Modern-Town,1984.0,,,20,14,5,Blue,Black
6621-1,Fire Truck,,6.0,,3.0,Modern-Town,1984.0,,,39,28,8,Red,Black
6622-1,Mailman on Motorcycle,,7.0,,17.2,Modern-Town,1984.0,,,30,22,8,Yellow,Red
6628-2,Construction Workers,,,,4.0,Modern-Town,1984.0,,,20,5,4,Blue,Gray
6655-1,Auto & Tire Repair,,11.0,,25.799999999999997,Modern-Town,1984.0,,,58,33,9,Red,Black
6684-1,Police Patrol Squad,6.5,11.0,4.5,20.0,Modern-Town,1984.0,,,81,44,10,Black,White
6686-1,Backhoe,,12.0,,5.0,Modern-Town,1984.0,,,88,44,8,Yellow,Black
6694-1,Car with Camper,,13.0,,5.0,Modern-Town,1984.0,,,109,55,8,Blue,White
6695-1,Tanker Truck,,14.0,,,Modern-Town,1984.0,,,106,52,9,Black,Yellow
